dateTime,latitude,longitude,PRES,TEMP,RVFL,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT
2024-08-29T05-50-00Z,45.7616667,13.4963333,12.05,27.3,14.39,1,10.9,-0.006,0.799,0.174,2,10.4,0.034,-0.116,0.242,3,9.9,0.252,-0.039,-0.111,4,9.4,0.131,0.818,-0.443,5,8.9,-0.185,0.154,0.274,6,8.4,-0.024,-0.211,0.269,7,7.9,0.015,-0.064,0.033,8,7.4,-0.002,-0.141,0.061,9,6.9,-0.033,-0.134,0.031,10,6.4,-0.04,-0.098,-0.073,11,5.9,-0.041,-0.042,-0.017,12,5.4,-0.064,0.186,0.113,13,4.9,0.031,0.004,0.199,14,4.4,-0.006,0.1,0.1,15,3.9,-0.061,0.183,0.005,16,3.4,-0.048,0.183,0.089,17,2.9,-0.022,0.036,0.078,18,2.4,0.001,-0.061,0.052,19,1.9,-0.039,0.078,-0.027,20,1.4,-0.007,0.205,-0.102,21,0.9,-0.001,0.076,-0.09,22,0.4,-0.004,0.067,-0.145
2024-08-29T06-00-00Z,45.7616667,13.4963333,12.07,27.3,9.94,1,10.92,0.007,0.769,0.233,2,10.42,0.04,-0.053,0.356,3,9.92,0.263,0.006,-0.061,4,9.42,0.174,0.68,-0.401,5,8.92,-0.108,-0.063,0.268,6,8.42,-0.029,-0.185,0.228,7,7.92,-0.02,0.011,0.022,8,7.42,-0.009,-0.074,0.08,9,6.92,-0.04,-0.17,0.003,10,6.42,-0.042,-0.042,-0.086,11,5.92,-0.018,-0.162,-0.087,12,5.42,-0.07,0.097,-0.029,13,4.92,0.015,0.03,0.149,14,4.42,-0.019,0.073,0.08,15,3.92,-0.065,0.091,0.03,16,3.42,-0.039,0.125,0.154,17,2.92,-0.015,0.001,0.055,18,2.42,-0.012,-0.045,0.082,19,1.92,-0.039,0.104,-0.012,20,1.42,0,0.222,-0.085,21,0.92,-0.007,0.096,-0.094,22,0.42,-0.008,0.066,-0.076
2024-08-29T06-10-00Z,45.7616667,13.4963333,12.09,27.3,8.74,1,10.94,0.032,0.717,0.206,2,10.44,0.037,-0.083,0.343,3,9.94,0.285,0.017,-0.056,4,9.44,0.174,0.736,-0.405,5,8.94,-0.167,0.012,0.317,6,8.44,-0.024,-0.174,0.258,7,7.94,0.012,-0.055,0.002,8,7.44,0.007,-0.125,0.069,9,6.94,-0.023,-0.238,-0.017,10,6.44,-0.029,-0.177,-0.099,11,5.94,-0.036,-0.115,-0.051,12,5.44,-0.069,0.105,-0.093,13,4.94,0.008,-0.057,0.075,14,4.44,0.002,0.007,0.111,15,3.94,-0.051,0.06,0.059,16,3.44,-0.063,0.134,0.03,17,2.94,-0.017,0.017,0.068,18,2.44,-0.027,-0.067,0.057,19,1.94,-0.053,0.056,-0.047,20,1.44,-0.013,0.154,-0.177,21,0.94,-0.01,0.02,-0.035,22,0.44,-0.003,0.06,-0.055
2024-08-29T06-20-00Z,45.7616667,13.4963333,12.11,27.3,8.31,1,10.95,0.054,0.703,0.25,2,10.45,0.055,-0.116,0.355,3,9.95,0.284,-0.002,-0.133,4,9.45,0.104,0.939,-0.412,5,8.95,-0.175,0.158,0.33,6,8.45,-0.028,-0.193,0.215,7,7.95,-0.014,0.049,0.07,8,7.45,-0.002,-0.049,0.103,9,6.95,-0.015,-0.095,0.046,10,6.45,-0.033,-0.012,0.017,11,5.95,-0.012,-0.169,-0.104,12,5.45,-0.065,-0.007,-0.137,13,4.95,0.007,0.034,0.086,14,4.45,-0.002,0.036,0.041,15,3.95,-0.055,0.115,-0.015,16,3.45,-0.063,0.111,0.051,17,2.95,-0.008,-0.038,0.087,18,2.45,-0.023,-0.082,0.043,19,1.95,-0.035,0.044,-0.012,20,1.45,0.003,0.177,-0.15,21,0.95,-0.005,0.045,-0.016,22,0.45,-0.008,0.027,-0.048
2024-08-29T06-30-00Z,45.7616667,13.4963333,12.12,27.3,7.17,1,10.96,0.056,0.729,0.247,2,10.46,0.046,-0.144,0.351,3,9.96,0.281,0.023,-0.142,4,9.46,0.121,0.865,-0.411,5,8.96,-0.184,0.153,0.245,6,8.46,-0.025,-0.206,0.312,7,7.96,-0.016,0.094,0.081,8,7.46,-0.02,-0.035,0.055,9,6.96,-0.029,-0.101,-0.033,10,6.46,-0.016,-0.167,-0.057,11,5.96,-0.043,-0.009,-0.069,12,5.46,-0.075,-0.03,-0.17,13,4.96,-0.012,-0.035,0.055,14,4.46,0.001,-0.015,0.097,15,3.96,-0.047,0.06,0.029,16,3.46,-0.068,0.203,0.014,17,2.96,-0.018,0.042,0.097,18,2.46,-0.009,-0.061,0.063,19,1.96,-0.024,0.046,-0.009,20,1.46,-0.01,0.111,-0.119,21,0.96,-0.011,0.057,-0.019,22,0.46,0,0.065,-0.072
2024-08-29T06-40-00Z,45.7616667,13.4963333,12.13,27.3,5.51,1,10.97,0.037,0.663,0.19,2,10.47,0.025,-0.188,0.239,3,9.97,0.289,0.021,-0.125,4,9.47,0.124,0.9,-0.429,5,8.97,-0.145,0.067,0.296,6,8.47,-0.025,-0.204,0.287,7,7.97,0.005,-0.004,0.02,8,7.47,0.013,-0.12,0.05,9,6.97,-0.014,-0.134,-0.007,10,6.47,-0.027,-0.101,-0.098,11,5.97,-0.054,-0.092,-0.137,12,5.47,-0.039,-0.013,-0.039,13,4.97,-0.012,-0.05,0.016,14,4.47,0.011,0.074,0.186,15,3.97,-0.057,0.123,0.057,16,3.47,-0.066,0.162,0.058,17,2.97,-0.015,-0.043,0.06,18,2.47,-0.005,-0.062,0.026,19,1.97,-0.047,0.069,-0.005,20,1.47,-0.001,0.076,-0.098,21,0.97,-0.015,0.084,-0.049,22,0.47,-0.017,0.087,-0.069
2024-08-29T06-50-00Z,45.7616667,13.4963333,12.14,27.3,16.8,1,10.98,0.045,0.627,0.167,2,10.48,0.044,-0.172,0.268,3,9.98,0.27,-0.003,-0.158,4,9.48,0.107,0.883,-0.404,5,8.98,-0.148,0.151,0.227,6,8.48,-0.025,-0.187,0.261,7,7.98,0.009,-0.092,-0.016,8,7.48,0.015,-0.168,0.059,9,6.98,-0.05,-0.081,-0.003,10,6.48,-0.073,0.065,-0.101,11,5.98,-0.016,-0.219,-0.159,12,5.48,-0.013,-0.026,-0.022,13,4.98,0.009,0.067,0.192,14,4.48,-0.009,0.021,0.067,15,3.98,-0.056,0.072,0.115,16,3.48,-0.037,0.155,0.055,17,2.98,-0.012,0.01,0.023,18,2.48,-0.016,0.01,0.026,19,1.98,-0.059,0.1,-0.028,20,1.48,-0.006,0.081,-0.109,21,0.98,-0.008,0.095,-0.118,22,0.48,-0.006,0.059,-0.14
2024-08-29T07-00-00Z,45.7616667,13.4963333,12.14,27.3,17.46,1,10.98,0.028,0.726,0.213,2,10.48,0.04,-0.181,0.284,3,9.98,0.294,-0.003,-0.096,4,9.48,0.16,0.787,-0.426,5,8.98,-0.138,0.025,0.31,6,8.48,-0.016,-0.193,0.242,7,7.98,0.003,-0.114,0.033,8,7.48,0.013,-0.106,0.049,9,6.98,-0.012,-0.152,-0.018,10,6.48,-0.009,-0.159,-0.095,11,5.98,-0.036,-0.192,-0.147,12,5.48,-0.057,-0.004,-0.113,13,4.98,0.004,-0.015,0.074,14,4.48,0.002,0.008,0.092,15,3.98,-0.055,0.06,0.089,16,3.48,-0.057,0.139,0.041,17,2.98,-0.015,-0.047,0.035,18,2.48,0,-0.009,0.088,19,1.98,-0.035,0.028,-0.018,20,1.48,0.008,0.123,-0.104,21,0.98,-0.002,0.085,-0.165,22,0.48,0.003,0.08,-0.177
2024-08-29T07-10-00Z,45.7616667,13.4963333,12.14,27.3,22.75,1,10.98,0.021,0.742,0.224,2,10.48,0.023,-0.225,0.256,3,9.98,0.267,-0.044,-0.076,4,9.48,0.118,0.889,-0.461,5,8.98,-0.141,0.104,0.277,6,8.48,-0.042,-0.23,0.261,7,7.98,0,-0.073,0.037,8,7.48,0.015,-0.094,0.056,9,6.98,-0.017,-0.223,-0.028,10,6.48,0.01,-0.19,-0.094,11,5.98,-0.039,-0.201,-0.181,12,5.48,-0.033,-0.032,-0.067,13,4.98,-0.01,-0.076,0.007,14,4.48,-0.006,0.069,0.087,15,3.98,-0.065,0.164,0.027,16,3.48,-0.053,0.128,0.012,17,2.98,0.003,-0.011,0.04,18,2.48,-0.018,-0.04,0.038,19,1.98,-0.021,0.008,-0.065,20,1.48,0,0.276,-0.174,21,0.98,-0.014,0.051,-0.044,22,0.48,0.01,0.076,-0.142
2024-08-29T07-20-00Z,45.7616667,13.4963333,12.15,27.3,16.16,1,10.99,0.043,0.675,0.211,2,10.49,0.02,-0.221,0.244,3,9.99,0.269,-0.063,-0.152,4,9.49,0.092,0.944,-0.421,5,8.99,-0.185,0.143,0.31,6,8.49,-0.039,-0.209,0.302,7,7.99,-0.021,0.036,0.044,8,7.49,-0.003,-0.078,0.123,9,6.99,-0.032,-0.125,-0.01,10,6.49,-0.009,-0.13,-0.03,11,5.99,-0.024,-0.194,-0.114,12,5.49,-0.066,-0.114,-0.148,13,4.99,-0.026,-0.071,-0.058,14,4.49,-0.022,0.044,0.071,15,3.99,-0.095,0.164,0.038,16,3.49,-0.075,0.163,0.025,17,2.99,-0.013,0.025,0.065,18,2.49,-0.024,0.042,0.037,19,1.99,-0.035,0.082,-0.038,20,1.49,0.021,0.168,-0.158,21,0.99,-0.011,0.001,-0.059,22,0.49,-0.02,0.011,-0.073
