dateTime,latitude,longitude,PRES,TEMP,RVFL,EWCT_BottomAvrg,NSCT_Bottom,Int_Bottom,Dir_BottomAvrg,EWCT_TopAvrg,NSCT_TopAvrg,Int_Top,Dir_Top
2024-08-29T07-20-00Z,45.7616667,13.4963333,12.15,27.3,16.16,0.071,0.046,0.085,57.06,0.047,-0.027,0.054,119.88
2024-08-29T07-30-00Z,45.7616667,13.4963333,12.14,27.29,26.73,0.092,0.047,0.103,62.94,0.065,-0.039,0.076,120.96
2024-08-29T07-40-00Z,45.7616667,13.4963333,12.14,27.29,28.04,0.094,0.036,0.101,69.04,0.086,-0.043,0.096,116.57
2024-08-29T07-50-00Z,45.7616667,13.4963333,12.14,27.29,23.15,0.126,0.051,0.136,67.96,0.089,-0.029,0.094,108.05
2024-08-29T08-00-00Z,45.7616667,13.4963333,12.14,27.29,21.16,0.104,0.034,0.109,71.9,0.064,-0.017,0.066,104.88
2024-08-29T08-10-00Z,45.7616667,13.4963333,12.14,27.29,19.13,0.066,0.057,0.087,49.18,0.044,-0.031,0.054,125.17
2024-08-29T08-20-00Z,45.7616667,13.4963333,12.13,27.29,24.25,-0.01,0.03,0.032,341.57,0.049,-0.055,0.074,138.3
2024-08-29T08-30-00Z,45.7616667,13.4963333,12.13,27.29,23.94,0.072,0.053,0.089,53.64,0.063,-0.024,0.067,110.85
2024-08-29T08-40-00Z,45.7616667,13.4963333,12.11,27.29,24.88,-0.042,-0.001,0.042,268.64,0.076,-0.029,0.081,110.89
2024-08-29T08-50-00Z,45.7616667,13.4963333,12.11,27.28,22.36,-0.023,0.039,0.045,329.47,0.021,-0.069,0.072,163.07
2024-08-29T09-00-00Z,45.7616667,13.4963333,12.1,27.28,20.97,-0.002,0.037,0.037,356.91,0.039,-0.069,0.079,150.52
2024-08-29T09-10-00Z,45.7616667,13.4963333,12.08,27.28,21.81,-0.014,0.055,0.057,345.72,0.049,-0.044,0.066,131.92
2024-08-29T09-20-00Z,45.7616667,13.4963333,12.06,27.28,18.01,-0.002,0.06,0.06,358.09,0.035,-0.052,0.063,146.06
2024-08-29T09-30-00Z,45.7616667,13.4963333,12.05,27.29,8.99,0.074,0.065,0.098,48.7,0.076,0.001,0.076,89.25
2024-08-29T09-50-00Z,45.7616667,13.4963333,12.04,27.29,10.22,0.068,0.014,0.069,78.37,0.046,-0.001,0.046,91.25
2024-08-29T10-00-00Z,45.7616667,13.4963333,12.03,27.29,13.28,0.106,0.048,0.116,65.64,0.061,-0.018,0.064,106.44
2024-08-29T10-10-00Z,45.7616667,13.4963333,12.02,27.29,7.92,0.058,0.049,0.076,49.81,0.038,0.01,0.039,75.26
2024-08-29T10-20-00Z,45.7616667,13.4963333,12.01,27.29,10.24,0.074,0.032,0.081,66.61,0.026,0.006,0.027,77.01
2024-08-29T10-30-00Z,45.7616667,13.4963333,11.99,27.28,12.74,-0.011,0.023,0.025,334.44,0.045,0.013,0.047,73.89
2024-08-29T10-40-00Z,45.7616667,13.4963333,11.97,27.28,10.73,-0.026,0.02,0.033,307.57,0.065,0.004,0.065,86.48
2024-08-29T10-50-00Z,45.7616667,13.4963333,11.95,27.28,15.22,-0.02,0.002,0.02,275.71,0.062,0.012,0.063,79.05
2024-08-29T11-00-00Z,45.7616667,13.4963333,11.94,27.29,19.85,0.033,0.009,0.034,74.74,0.06,-0.015,0.062,104.04
2024-08-29T11-10-00Z,45.7616667,13.4963333,11.93,27.29,6.24,0.061,0.028,0.067,65.34,0.041,0.017,0.044,67.48
2024-08-29T11-20-00Z,45.7616667,13.4963333,11.91,27.28,7.43,0.076,0.017,0.078,77.39,0.051,0,0.051,90
2024-08-29T11-30-00Z,45.7616667,13.4963333,11.91,27.28,19.51,0.074,0.019,0.076,75.6,0.047,-0.022,0.052,115.08
2024-08-29T11-40-00Z,45.7616667,13.4963333,11.89,27.28,9.72,0.011,0.007,0.013,57.53,0.013,-0.023,0.026,150.52
2024-08-29T11-50-00Z,45.7616667,13.4963333,11.88,27.28,20.18,0.034,-0.005,0.034,98.37,0.004,-0.047,0.047,175.14
2024-08-29T12-00-00Z,45.7616667,13.4963333,11.87,27.27,21.64,0.057,0.016,0.059,74.32,0.044,-0.047,0.064,136.89
2024-08-29T12-10-00Z,45.7616667,13.4963333,11.85,27.27,11.2,0.04,0.007,0.041,80.07,0.025,-0.018,0.031,125.75
2024-08-29T12-20-00Z,45.7616667,13.4963333,11.85,27.26,14.27,0.041,0.007,0.042,80.31,0.042,-0.028,0.05,123.69
2024-08-29T12-30-00Z,45.7616667,13.4963333,11.85,27.26,13.02,0.029,0.015,0.033,62.65,0.047,-0.023,0.052,116.08
