dateTime,latitude,longitude,PRES,TEMP,RVFL,EWCT_BottomAvrg,NSCT_Bottom,Int_BottomAvrg,Dir_BottomAvrg,EWCT_TopAvrg,NSCT_TopAvrg,Int_TopAvrg,Dir_TopAvrg
2024-09-16T08-40-00Z,45.7616667,13.4963333,12.27,22.37,65.1,-0.002,0.025,0.025,355.43,0.024,-0.1,0.103,166.5
2024-09-16T08-50-00Z,45.7616667,13.4963333,12.27,22.37,49.68,0.004,-0.029,0.029,172.15,0.03,-0.043,0.052,145.1
2024-09-16T09-00-00Z,45.7616667,13.4963333,12.26,22.37,27.43,-0.01,-0.02,0.022,206.57,0.029,-0.019,0.035,123.23
2024-09-16T09-10-00Z,45.7616667,13.4963333,12.24,22.37,59.93,-0.026,-0.031,0.04,219.99,-0.008,-0.072,0.072,186.34
2024-09-16T09-20-00Z,45.7616667,13.4963333,12.22,22.37,81.9,-0.013,-0.002,0.013,261.25,0.02,-0.109,0.111,169.6
2024-09-16T09-30-00Z,45.7616667,13.4963333,12.2,22.37,73.64,-0.031,0.025,0.04,308.88,0.028,-0.094,0.098,163.41
2024-09-16T09-40-00Z,45.7616667,13.4963333,12.18,22.36,95.22,0.006,0.037,0.037,9.21,0.033,-0.135,0.139,166.26
2024-09-16T09-50-00Z,45.7616667,13.4963333,12.15,22.37,53.6,-0.017,0.027,0.032,327.8,-0.006,-0.072,0.072,184.76
2024-09-16T10-00-00Z,45.7616667,13.4963333,12.12,22.37,76.51,-0.03,-0.018,0.035,239.04,0.028,-0.088,0.092,162.35
2024-09-16T10-10-00Z,45.7616667,13.4963333,12.1,22.37,61.66,0.013,0.009,0.016,55.3,0.04,-0.079,0.089,153.15
2024-09-16T10-20-00Z,45.7616667,13.4963333,12.06,22.37,42.41,-0.012,0.051,0.052,346.76,0.06,-0.059,0.084,134.52
2024-09-16T10-30-00Z,45.7616667,13.4963333,12.04,22.37,56.66,-0.016,0.031,0.035,332.7,0.029,-0.088,0.093,161.76
