dateTime,latitude,longitude,PRES,TEMP,RVFL,EWCT_BottomAvrg,NSCT_BottomAvrg,Int_BottomAvrg,Dir_BottomAvrg,EWCT_TopAvrg,NSCT_TopAvrg,Int_TopAvrg,Dir_TopAvrg
2024-09-23T16-00-00Z,45.7616667,13.4963333,11.68,20.79,2.3,-0.052,-0.014,0.054,254.93,-0.019,-0.009,0.021,244.65
2024-09-23T16-10-00Z,45.7616667,13.4963333,11.68,20.79,-64.57,-0.065,-0.011,0.066,260.39,-0.045,0.09,0.101,333.43
2024-09-23T16-20-00Z,45.7616667,13.4963333,11.66,20.79,16.45,-0.013,-0,0.013,270,-0.043,-0.025,0.05,239.83
2024-09-23T16-30-00Z,45.7616667,13.4963333,11.65,20.79,39.4,-0.078,-0.024,0.082,252.9,0.01,-0.035,0.036,164.05
2024-09-23T16-40-00Z,45.7616667,13.4963333,11.64,20.79,68.49,-0.086,-0.007,0.086,265.35,0.002,-0.076,0.076,178.49
2024-09-23T16-50-00Z,45.7616667,13.4963333,11.64,20.79,36.21,-0.086,0.012,0.087,277.94,0.011,-0.047,0.048,166.83
2024-09-23T17-00-00Z,45.7616667,13.4963333,11.62,20.79,55.87,-0.072,-0.004,0.072,266.82,0.006,-0.065,0.065,174.73
2024-09-23T17-10-00Z,45.7616667,13.4963333,11.61,20.79,66.72,-0.122,0.006,0.122,272.82,0.023,-0.112,0.114,168.4
2024-09-23T17-20-00Z,45.7616667,13.4963333,11.61,20.79,34.25,-0.059,-0.007,0.059,263.23,-0.003,-0.057,0.057,183.01
2024-09-23T17-30-00Z,45.7616667,13.4963333,11.59,20.79,11.17,-0.126,-0.028,0.129,257.47,-0.012,-0.009,0.015,233.13
2024-09-23T17-40-00Z,45.7616667,13.4963333,11.57,20.79,28.61,-0.076,-0.028,0.081,249.78,0.015,-0.041,0.044,159.9
2024-09-23T17-50-00Z,45.7616667,13.4963333,11.57,20.8,19.52,-0.106,-0.004,0.106,267.84,-0.004,-0.044,0.044,185.19
2024-09-23T18-00-00Z,45.7616667,13.4963333,11.58,20.8,18.68,-0.033,0.012,0.035,289.98,-0.02,-0.028,0.034,215.54
2024-09-23T18-10-00Z,45.7616667,13.4963333,11.57,20.8,14.75,-0.054,-0.019,0.057,250.62,0.025,-0.013,0.028,117.47
2024-09-23T18-20-00Z,45.7616667,13.4963333,11.59,20.8,-19.81,-0.052,0.027,0.059,297.44,-0.041,0.022,0.047,298.22
2024-09-23T18-30-00Z,45.7616667,13.4963333,11.6,20.8,15.81,-0.057,-0.046,0.073,231.1,-0.01,-0.008,0.013,231.34
2024-09-23T18-40-00Z,45.7616667,13.4963333,11.61,20.8,3.02,-0.08,-0.028,0.085,250.71,0.01,0.018,0.021,29.05
2024-09-23T18-50-00Z,45.7616667,13.4963333,11.62,20.8,2.43,-0.065,-0.014,0.066,257.85,-0.018,0.007,0.019,291.25
2024-09-23T19-00-00Z,45.7616667,13.4963333,11.62,20.8,38.59,-0.078,-0.017,0.08,257.7,-0.008,-0.025,0.026,197.74
2024-09-23T19-10-00Z,45.7616667,13.4963333,11.62,20.8,53.82,-0.071,-0.054,0.089,232.74,0.045,-0.013,0.047,106.11
2024-09-23T19-20-00Z,45.7616667,13.4963333,11.63,20.8,41.5,-0.07,-0.048,0.085,235.56,0.026,-0.011,0.028,112.93
2024-09-23T19-30-00Z,45.7616667,13.4963333,11.63,20.8,18.02,-0.09,-0.05,0.103,240.95,0.005,0.024,0.025,11.77
2024-09-23T19-40-00Z,45.7616667,13.4963333,11.66,20.8,7.45,-0.042,0,0.042,270,0.007,0.009,0.011,37.87
2024-09-23T19-50-00Z,45.7616667,13.4963333,11.68,20.8,2.64,-0.012,-0.013,0.018,222.71,-0.014,0.019,0.024,323.62
2024-09-23T20-00-00Z,45.7616667,13.4963333,11.68,20.8,14.58,-0.026,0.004,0.026,278.75,-0.025,-0.012,0.028,244.36
2024-09-23T20-10-00Z,45.7616667,13.4963333,11.7,20.8,28.2,-0.036,-0.005,0.036,262.09,0.006,-0.019,0.02,162.47
2024-09-23T20-20-00Z,45.7616667,13.4963333,11.71,20.8,17.44,-0.029,0.007,0.03,283.57,-0.008,-0.011,0.014,216.03
2024-09-23T20-30-00Z,45.7616667,13.4963333,11.73,20.8,-7.07,-0.018,0.013,0.022,305.84,-0.036,0.011,0.038,286.99
